Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
177,0.59,1.84,1.72,2.94,72498.15498,103594.5205,89483.5443,457333.3333,
178,0.58,1.82,1.73,2.94,71007.35294,101083.7838,90577.07006,457333.3333,
179,0.57,1.89,1.73,2.92,69527.47253,110182.9787,90577.07006,430315.7895,
180,0.57,1.93,1.74,2.94,69527.47253,115800,91684.61538,457333.3333,
181,0.58,1.89,1.73,2.94,71007.35294,110182.9787,90577.07006,457333.3333,
182,0.58,1.82,1.72,2.93,71007.35294,101083.7838,89483.5443,443459.4595,
183,0.58,1.89,1.71,2.93,71007.35294,110182.9787,88403.77358,443459.4595,
184,0.57,1.92,1.72,2.92,69527.47253,114365.2174,89483.5443,430315.7895,
185,0.58,1.93,1.73,2.93,71007.35294,115800,90577.07006,443459.4595,
186,0.57,1.91,1.72,2.92,69527.47253,112951.0791,89483.5443,430315.7895,
187,0.58,1.9,1.72,2.93,71007.35294,111557.1429,89483.5443,443459.4595,
188,0.57,1.9,1.73,2.93,69527.47253,111557.1429,90577.07006,443459.4595,
189,0.57,1.88,1.72,2.91,69527.47253,108828.169,89483.5443,417846.1538,
190,0.57,1.9,1.74,2.93,69527.47253,111557.1429,91684.61538,443459.4595,
191,0.57,1.89,1.71,2.94,69527.47253,110182.9787,88403.77358,457333.3333,
192,0.57,1.88,1.72,2.92,69527.47253,108828.169,89483.5443,430315.7895,
193,0.58,1.91,1.73,2.93,71007.35294,112951.0791,90577.07006,443459.4595,
194,0.57,1.89,1.74,2.93,69527.47253,110182.9787,91684.61538,443459.4595,
195,0.58,1.88,1.73,2.94,71007.35294,108828.169,90577.07006,457333.3333,
196,0.58,1.9,1.7,2.92,71007.35294,111557.1429,87337.5,430315.7895,
197,0.57,1.91,1.94,2.92,69527.47253,112951.0791,117255.8824,430315.7895,
198,0.58,1.92,1.85,2.93,71007.35294,114365.2174,104875.8621,443459.4595,
199,0.58,1.92,2.06,2.93,71007.35294,114365.2174,136558.0645,443459.4595,
200,0.58,1.91,1.92,2.92,71007.35294,112951.0791,114365.2174,430315.7895,
